2708 5278
271 718 1
271 2056 1
272 516 1
272 914 1
272 1551 1
273 372 1
274 566 1
274 478 1
275 464 1
276 467 1
276 342 1
276 2115 1
276 2546 1
276 1993 1
277 552 1
277 523 1
277 294 1
277 483 1
277 567 1
278 1898 1
278 324 1
278 326 1
279 464 1
280 519 1
280 2549 1
281 858 1
281 460 1
282 589 1
282 592 1
283 523 1
283 747 1
283 565 1
283 2093 1
284 583 1
284 486 1
285 486 1
285 1148 1
286 378 1
286 2195 1
286 1963 1
287 591 1
287 640 1
287 549 1
288 2380 1
288 1377 1
288 2037 1
288 2157 1
289 1534 1
289 1535 1
289 1537 1
289 612 1
289 2568 1
289 1498 1
289 1278 1
290 2220 1
290 1911 1
290 1839 1
291 487 1
292 759 1
292 904 1
293 576 1
293 387 1
294 1353 1
294 502 1
294 1438 1
294 665 1
294 638 1
294 554 1
294 1672 1
294 807 1
294 699 1
294 633 1
294 636 1
294 2476 1
294 2430 1
294 465 1
294 466 1
294 477 1
294 483 1
294 564 1
294 565 1
294 566 1
294 588 1
295 471 1
295 565 1
295 1782 1
295 2078 1
295 1012 1
295 1316 1
296 638 1
296 438 1
296 1236 1
296 692 1
297 809 1
297 1321 1
297 441 1
298 552 1
298 410 1
299 746 1
299 2083 1
299 596 1
299 1827 1
299 2110 1
300 1621 1
300 593 1
301 489 1
302 428 1
302 432 1
302 598 1
303 426 1
303 1174 1
303 478 1
303 2091 1
304 427 1
304 1461 1
304 1912 1
305 552 1
305 565 1
305 410 1
306 552 1
306 554 1
306 565 1
306 967 1
306 1376 1
307 735 1
307 598 1
308 2028 1
308 1456 1
310 747 1
310 2513 1
310 668 1
311 552 1
311 406 1
312 427 1
312 645 1
312 772 1
312 577 1
313 1354 1
313 1377 1
313 801 1
313 534 1
313 1642 1
314 1073 1
314 1596 1
314 1726 1
314 1244 1
314 1684 1
314 509 1
315 747 1
316 344 1
317 417 1
317 2326 1
317 508 1
318 426 1
318 445 1
318 2310 1
318 991 1
318 2333 1
318 686 1
318 2427 1
318 1173 1
318 1644 1
319 1273 1
321 566 1
321 1954 1
321 1192 1
321 2179 1
321 2305 1
322 2508 1
322 1027 1
322 1644 1
322 967 1
323 1322 1
323 2560 1
323 2467 1
324 326 1
324 389 1
324 327 1
324 332 1
325 1201 1
326 327 1
327 945 1
327 1899 1
327 1532 1
328 747 1
328 2619 1
330 747 1
330 576 1
330 359 1
330 731 1
330 354 1
331 774 1
332 389 1
332 1064 1
333 477 1
333 565 1
333 566 1
333 463 1
335 344 1
335 426 1
335 378 1
335 585 1
336 747 1
337 346 1
337 363 1
338 627 1
339 1549 1
339 1602 1
339 495 1
339 342 1
340 529 1
340 341 1
340 709 1
341 529 1
341 709 1
342 1945 1
342 2546 1
342 1993 1
342 467 1
342 776 1
342 495 1
342 729 1
342 1800 1
342 2016 1
343 1274 1
343 1571 1
343 530 1
343 1303 1
343 1098 1
343 1577 1
343 1523 1
344 1622 1
344 2617 1
344 2609 1
344 1671 1
344 1881 1
344 2339 1
344 2441 1
344 2229 1
344 963 1
344 1442 1
344 1445 1
344 2589 1
344 1312 1
344 1627 1
344 2032 1
344 2171 1
344 1267 1
344 1275 1
344 2290 1
344 2291 1
344 1260 1
344 348 1
344 1244 1
344 675 1
344 521 1
344 2426 1
344 1007 1
344 2215 1
345 2389 1
345 2266 1
345 1924 1
345 2421 1
345 622 1
346 363 1
347 713 1
347 998 1
347 999 1
347 452 1
348 638 1
348 1596 1
348 1244 1
349 747 1
350 730 1
350 770 1
350 664 1
350 427 1
350 351 1
351 730 1
352 904 1
352 1372 1
353 747 1
353 427 1
354 576 1
354 839 1
354 1072 1
354 1520 1
355 576 1
355 745 1
355 1562 1
355 1093 1
355 1094 1
355 2068 1
356 510 1
357 2089 1
357 803 1
357 537 1
357 1563 1
358 1255 1
359 2499 1
359 2376 1
359 1787 1
359 2567 1
359 2505 1
359 1871 1
359 1320 1
359 2422 1
359 2498 1
359 2322 1
359 808 1
359 1342 1
359 1068 1
360 698 1
362 747 1
362 2191 1
364 590 1
364 366 1
364 365 1
365 590 1
365 2572 1
365 2112 1
366 590 1
367 552 1
367 483 1
367 565 1
367 440 1
368 611 1
368 747 1
369 747 1
370 552 1
370 562 1
370 875 1
371 2507 1
373 652 1
374 552 1
374 455 1
375 638 1
375 635 1
375 1576 1
375 836 1
376 558 1
376 641 1
376 704 1
377 622 1
378 960 1
378 2012 1
378 2195 1
378 2042 1
378 1238 1
378 585 1
378 1644 1
378 1290 1
378 1207 1
378 692 1
378 1275 1
378 2290 1
378 2291 1
378 1963 1
378 396 1
378 2447 1
378 2583 1
378 1027 1
378 1061 1
378 1678 1
378 1539 1
379 756 1
380 1737 1
380 1784 1
380 2641 1
380 2196 1
380 1473 1
380 1474 1
380 1257 1
380 934 1
381 430 1
381 2342 1
381 686 1
381 635 1
382 1236 1
382 2132 1
382 1837 1
383 638 1
383 631 1
385 565 1
385 567 1
386 611 1
386 747 1
386 745 1
388 439 1
388 2590 1
389 577 1
389 1937 1
391 427 1
391 438 1
391 1283 1
394 608 1
396 478 1
397 747 1
397 2346 1
397 659 1
398 419 1
398 776 1
399 427 1
399 1250 1
399 1251 1
400 2354 1
400 2360 1
400 555 1
401 2462 1
401 577 1
401 632 1
401 442 1
402 403 1
402 681 1
402 538 1
403 2302 1
403 2104 1
403 2309 1
405 1592 1
405 1285 1
405 753 1
406 427 1
406 2307 1
407 512 1
407 2439 1
407 1763 1
407 1298 1
407 1875 1
408 630 1
409 2582 1
409 753 1
409 1606 1
409 1298 1
410 565 1
411 1891 1
411 512 1
411 2594 1
411 1470 1
411 536 1
411 2582 1
411 1600 1
411 2232 1
412 552 1
412 688 1
413 611 1
414 1174 1
414 1877 1
414 908 1
414 1442 1
414 1445 1
414 440 1
415 523 1
415 995 1
415 789 1
415 2664 1
415 2103 1
415 1737 1
415 1832 1
415 1836 1
415 1790 1
415 2353 1
415 712 1
416 1713 1
416 2510 1
416 1913 1
417 508 1
418 479 1
418 1312 1
418 1269 1
418 1198 1
418 740 1
419 1527 1
419 1326 1
419 1747 1
420 2214 1
420 2590 1
420 519 1
420 439 1
422 1069 1
422 1685 1
422 1691 1
423 557 1
423 558 1
423 1290 1
423 2425 1
423 1934 1
424 571 1
425 565 1
426 2369 1
426 1576 1
426 836 1
426 1187 1
426 2126 1
426 1486 1
426 937 1
426 1275 1
426 1061 1
426 1528 1
426 2431 1
427 2044 1
427 2295 1
427 1274 1
427 1766 1
427 1914 1
427 2255 1
427 1103 1
427 1811 1
427 2383 1
427 493 1
427 2453 1
427 1760 1
427 665 1
427 2574 1
427 2388 1
427 1399 1
427 1405 1
427 494 1
427 610 1
427 587 1
427 2258 1
427 823 1
427 1318 1
427 526 1
427 1547 1
427 2412 1
427 1037 1
427 2306 1
427 1283 1
427 1284 1
427 2658 1
427 698 1
427 1975 1
427 584 1
427 2448 1
427 2683 1
427 1488 1
427 954 1
427 2437 1
427 916 1
427 1999 1
427 674 1
427 946 1
427 1577 1
427 658 1
427 696 1
427 461 1
427 1340 1
427 561 1
427 477 1
427 2024 1
428 598 1
428 433 1
428 432 1
429 1290 1
429 1514 1
430 2487 1
430 1617 1
430 2593 1
430 1637 1
430 683 1
430 2033 1
430 1165 1
430 1792 1
430 2197 1
430 2137 1
430 1020 1
430 524 1
430 1698 1
430 1284 1
430 651 1
430 1207 1
430 2343 1
430 547 1
430 1568 1
430 632 1
430 2557 1
430 686 1
430 1270 1
430 635 1
430 1569 1
430 634 1
431 1608 1
431 2137 1
432 598 1
432 433 1
434 1339 1
434 597 1
434 2473 1
435 751 1
436 635 1
438 550 1
438 607 1
438 616 1
438 710 1
438 692 1
438 720 1
440 562 1
441 638 1
442 635 1
442 1908 1
444 753 1
445 690 1
446 552 1
446 554 1
447 630 1
447 1501 1
447 1471 1
449 638 1
449 566 1
449 479 1
449 1539 1
450 954 1
450 2558 1
450 646 1
451 552 1
451 2537 1
451 2666 1
452 513 1
453 591 1
453 2156 1
453 706 1
453 1712 1
453 2059 1
453 2354 1
453 2455 1
453 1566 1
453 1358 1
453 1661 1
453 2092 1
453 2098 1
453 2099 1
453 1449 1
453 514 1
453 2618 1
453 1269 1
453 876 1
453 1025 1
453 2034 1
453 549 1
453 1124 1
454 539 1
454 1368 1
454 541 1
455 552 1
456 1560 1
456 569 1
456 1296 1
456 2455 1
456 2653 1
456 2099 1
456 1748 1
456 549 1
456 672 1
457 649 1
458 747 1
458 745 1
459 640 1
459 1705 1
462 1644 1
462 2582 1
463 477 1
463 483 1
463 564 1
464 467 1
464 573 1
465 523 1
465 2027 1
465 2672 1
465 2368 1
465 466 1
465 565 1
465 566 1
466 552 1
466 565 1
466 566 1
467 2000 1
467 495 1
467 729 1
467 2016 1
468 1713 1
468 896 1
468 2377 1
468 491 1
470 478 1
471 1045 1
471 1632 1
471 1859 1
471 621 1
472 552 1
472 566 1
472 1006 1
472 650 1
473 552 1
473 1459 1
474 635 1
474 698 1
476 605 1
476 1091 1
476 1056 1
477 1645 1
477 1766 1
477 2409 1
477 2658 1
477 565 1
477 566 1
477 745 1
478 523 1
478 565 1
478 618 1
478 520 1
478 497 1
478 754 1
478 568 1
478 479 1
479 649 1
479 1354 1
479 1627 1
479 2636 1
479 2300 1
480 2570 1
480 667 1
480 2270 1
482 551 1
482 578 1
483 552 1
483 933 1
483 749 1
483 650 1
483 566 1
484 641 1
484 642 1
484 1574 1
485 2514 1
485 711 1
485 2380 1
485 1838 1
485 2561 1
486 1597 1
486 1278 1
486 1148 1
486 2276 1
487 538 1
488 591 1
488 549 1
488 2053 1
489 747 1
489 2670 1
489 1815 1
490 492 1
490 734 1
491 2377 1
491 2318 1
492 565 1
492 1741 1
492 2323 1
492 1186 1
492 734 1
492 2419 1
494 747 1
496 2393 1
496 501 1
496 1896 1
496 663 1
497 2342 1
499 1287 1
499 1288 1
500 2444 1
500 1767 1
500 563 1
501 503 1
501 663 1
502 747 1
502 565 1
502 567 1
502 2536 1
503 1813 1
503 1952 1
503 2396 1
503 1851 1
503 2029 1
504 702 1
506 514 1
507 2427 1
507 549 1
507 798 1
507 2391 1
507 1888 1
507 2548 1
508 523 1
508 2326 1
509 669 1
510 519 1
510 2223 1
511 611 1
514 569 1
515 2164 1
515 637 1
517 1198 1
517 1170 1
517 2509 1
518 766 1
518 662 1
518 2532 1
519 2608 1
519 705 1
519 2223 1
519 2549 1
519 2590 1
519 2448 1
520 719 1
520 524 1
521 638 1
521 1259 1
521 2312 1
521 1081 1
521 1082 1
522 525 1
523 870 1
523 2442 1
523 2600 1
523 1616 1
523 2551 1
523 910 1
523 882 1
523 1214 1
523 1687 1
523 1931 1
523 2408 1
523 961 1
523 2642 1
523 1676 1
523 540 1
523 1790 1
523 565 1
523 2480 1
523 551 1
523 1921 1
523 717 1
524 1454 1
524 1169 1
525 1425 1
525 684 1
525 1419 1
525 1427 1
526 747 1
527 747 1
527 2606 1
527 1656 1
527 2662 1
527 1968 1
528 678 1
529 709 1
531 2187 1
531 693 1
531 1490 1
533 777 1
535 1560 1
535 672 1
535 761 1
537 606 1
537 1204 1
538 2309 1
538 1738 1
538 1689 1
538 2165 1
538 2193 1
538 1204 1
538 1036 1
539 1123 1
539 1665 1
539 1210 1
539 1209 1
539 1453 1
539 541 1
540 543 1
540 603 1
540 1121 1
540 1640 1
541 1123 1
542 747 1
542 1203 1
542 779 1
544 751 1
545 747 1
548 552 1
548 565 1
548 1859 1
548 1860 1
549 591 1
549 640 1
549 574 1
549 672 1
550 569 1
550 2423 1
550 1422 1
551 2215 1
551 2473 1
552 644 1
552 653 1
552 554 1
552 559 1
552 723 1
552 688 1
552 621 1
552 636 1
552 738 1
552 749 1
552 671 1
552 691 1
552 575 1
552 601 1
553 2459 1
554 1859 1
554 565 1
554 875 1
555 615 1
555 556 1
555 2354 1
556 2354 1
556 2360 1
556 615 1
557 558 1
558 2660 1
558 1934 1
558 2463 1
558 1137 1
558 1816 1
558 905 1
558 1641 1
558 1532 1
558 1555 1
558 2034 1
559 1816 1
559 1378 1
559 2341 1
560 1375 1
560 2287 1
560 955 1
560 938 1
560 740 1
560 1452 1
561 747 1
561 745 1
562 1401 1
562 2014 1
562 2018 1
562 1889 1
562 671 1
562 1117 1
562 1183 1
