BiotechnologyTrends,1,12
AirQuality,5,5
SearchEngines;WebCrawling,6,3
Colloid,4,0
AppliedPhysiology;Muscle,11,5
BiblicalLiterature,8,5
FaultTolerantComputing,6,5
ThirdWorldPoliticalEconomics,12,2
PublicHospitals,11,8
Sociology,12,2
Horticulture,0,7
Bone&Osteoporosis,2,5
RadiationTherapy,2,5
WaterTreatment,3,11
Spyware;Malware,6,3
BehavioralResearchTherapy,11,2
ScienceEducation,12,2
Design&AnalysisofAlgorithms,10,3
HospiceCare,11,9
Climatology,5,7
CropScience,0,7
FuzzySets,6,3
VehicleSystemDesign,3,4
Transfusion,2,5
AIDSTreatment,11,8
WirelessCommunication,6,5
Atherosclerosis,2,5
Region&MedicalEthics,11,9
SpeechLanguage&Hearing,7,2
Thoracic&Respiratory,2,5
VeterinaryMicrobiology,9,5
EnvironmentalProtection,3,7
ComputerSystemsDesign,6,3
EnvironmentalPollution,3,7
ElectricalNetworks,6,4
Endoscopy,2,5
Chemistry&MaterialScience,4,11
MedicalScreening&Epidemiology,11,5
ChildDevelopment,12,2
Pain,11,9
PublicAdministration,12,2
SoilAnalysis,0,7
SafetyManagement,3,11
PatternRecognition,6,4
MentalHealthAssessment,11,8
ClinicalMedicine(translated),2,5
Mutation;DNARepair,9,5
HumanEvolution,0,7
SpaceResearch,10,4
Entomology,0,7
Epilepsy,7,10
PlantEcology,0,7
ComputerAidedMolecularDesign,4,12
Criminology,12,2
ForensicPsychiatry,7,8
Personality,12,2
TestEquipment,6,4
Logic,6,3
PulpPaperScience,3,0
Textiles,3,0
ContemporaryPhilosophy,8,5
HydrologySoilContamination,3,5
ChildAbuse,12,2
MathematicsResearch,10,1
Geology(International),5,5
EnvironmentalChemistry,4,12
Parasitology,0,7
DairyScience,9,5
WaterPolicy,3,5
FishResearch,0,7
Printing,3,0
Genetics,0,7
IndustrialChemistry,3,0
Obesity,11,5
LiteraryCriticism,8,5
Hepatology,2,5
PhysicalTherapy;BrainInjury,7,2
ComputationalMath,10,1
WorldHealthOrganization,9,5
GeophysicalScience,10,4
ForensicMedicine,11,9
PsychiatricServices,11,8
SoftwareDesignandDevelopment,6,3
WildlifeManagement,0,7
OceanCoastalManagement,3,11
DatabaseDesign&Management,6,3
FinancialAccounting,12,2
MicrobiologyBiotechnology,1,12
WaterUtilities,3,11
SedimentaryGeology,5,5
Geodesy,5,2
Surfactants,4,5
Eye,2,5
AddictiveBehavior,11,9
NavalArchitecture,3,11
EnvironmentalMicrobiology,0,7
ElectronicImaging,6,4
FunctionalPrograming,6,3
AppliedGenetics,0,12
PlantDisease,0,7
WaterResource,5,7
DevelopmentalEconomics,12,1
NuclearPhysics,10,11
InternationalEconomics,12,1
Radiology,2,5
GermanStudies,8,5
MedievalHistory,8,5
PhilosophyofEducation,8,5
OceanographicInstrumentation,3,4
ForeignPolicy,12,2
Gut,2,5
Microwaves;RadioFrequencies,6,5
SchoolPsychology,12,2
Vaccines,9,5
EnvironmentalLaw,12,2
MassSpectrometry,4,12
PsychiatricNursing,11,8
AsianStudies,8,2
OptimizationTheory,10,1
MathematicalScience(Russia),10,1
GeneTherapy,9,5
Security;Cryptography,6,3
MaterialsProcessing,3,11
RuralHealthCare,11,9
PowerSystems,6,4
SurgicalOncology,2,5
ChipDesign&Manufacturing,6,5
Sociobiology,0,7
MolecularMedicine,11,5
HumanResourceManagement,12,2
EcologicalModeling,0,7
ClinicalRehabilitation,2,5
Metallurgy,3,11
Ethics,8,5
Marital&FamilyTherapy,12,2
Aerospace,3,4
CriticalStudies,8,5
Econometrics,12,2
NeuroscienceMethods,7,10
Mineralogy,5,5
Trauma,11,9
ThermalAnalysis,4,12
Solar&WindPower,3,11
OceanEngineering,3,11
EducationalPsychology,12,2
Mycology,0,7
Semiotics,8,5
Dyes&Pigments,3,0
DrugSafety,2,5
MolecularEcology,0,7
Cytogenetics&GenomeMapping,9,5
ClinicalPsychiatry,11,8
Paleogeography,5,7
WaterWaste,3,11
ComputerNetworks,6,3
WeedManagement,0,7
UserInterfaceDesign,6,3
PublicPolicy,12,2
LiquidCrystals,4,12
ControlSystems,6,4
EnvironmentalPolicy,12,2
Topology,10,1
Construction,3,0
Dams&Tunnels,3,11
RegionalStudies,12,2
ElectrochemicalDevelopment,3,11
DigitalPrinting,3,0
Peptides,9,12
AppliedGeophysics,3,5
SexuallyTransmittedDiseases,9,5
EngineeringEducation,12,2
NeuroImmunology,7,5
MachineLearning,6,3
GeriatricNursing,11,9
Sensors&Actuators,3,11
Systematics&EvolutionaryMicrobiology,1,12
MedicalImageProcessing,6,4
MedicalEducation,11,9
MagneticResonanceImagery,7,5
HospitalManagement,11,8
InsectPhysiology,0,7
PowerTransmission,6,4
FoodEngineering,1,5
OralSurgery,11,10
ComputerSystemsTheory,6,3
Combustion,3,11
DermatologicalSurgery,2,5
WildlifeResearch,0,7
Midwifery,11,8
Physics;CurrentDevelopments,10,1
Pyschiatric&BehavioralGenetics,12,2
Fractures&Fatigue,3,11
EmergencyMedicine,11,9
CrossDisciplinaryStudies,8,5
ArcheologicalScience,5,5
PreventiveMedicine,11,9
Carbon,4,11
GynecologyOncology,2,5
PsychosomaticMedicine,12,8
PharmacoEconomics,11,9
ComputerModelingandAnimation,6,3
MedicalPractice,11,9
CancerStatistics,10,1
Consciousness,7,2
Otolyngology;HeadNeck,11,10
HeartFailure;Catheters,2,5
WoodComponents,3,0
Circuits,6,3
FrictionLubrication&Wear,3,5
SuperconductorScience,10,5
Antennae;MobileRadio,6,4
Headache,7,9
OperationsManagement,12,2
FishBiology,0,7
SocialHistory,8,5
ConsumerElectronics,6,3
Menopause,2,5
Chemistry(Russia),4,12
GeoPolitics,12,2
Glaciology,5,2
MedicalLibraries,11,8
Opera,8,5
Education,12,2
Acoustics,3,6
Pragmatics&Discourse,12,2
ReproductionVeterinary,9,5
Crystallography,4,12
AppliedMath,10,1
Socio-CulturalAnthropology,8,5
PoultryScience,9,7
ArtificialOrgans,11,5
PhysicalTherapy;Orthopedic,11,9
Pulmonary,2,5
WasteManagement,3,0
MarinePollution,0,7
Toxins,4,12
HearingResearch,7,10
HumanRights,12,2
LungCancer,2,5
SocialEconomics,12,2
CarbohydrateResearch,4,12
BiotechnologyBioengineering,1,12
RuralStudies,12,2
Electronics,6,5
Defects&DiffusioninMaterials,3,5
ForensicScience,7,9
RangelandEcology,0,7
Welding,3,5
ReliabilityEngineering,12,3
MolecularBiologyMethods,9,12
Mammals,0,7
Impotence,2,5
FuzzyLogic,6,4
Tourism,12,2
AquaticDisease,0,7
GeographicInformationScience,5,2
HormoneResearch,2,5
PublicHealth,11,5
Sleep,7,5
Neurotoxicology,7,5
PediatricResearch,2,5
EducationPsychologicalMeasures,12,2
Marketing,12,2
ClinicalMedicine(Romania),2,5
GreenChemistry,4,12
Optometry,11,10
TextileArt,3,0
ItalianStudies,8,5
PerceptionMotorSkills,11,5
WorldTrade;Law,12,2
Insects,0,7
AustralianEcology,0,7
Paints&Coatings,4,5
NursingTheory,11,8
Crustaceans,0,7
LaserSurgery,11,5
BulkSolidHandling,3,11
Wetlands,0,7
GIS(nonEnglish),5,5
Hydraulics,6,4
AgriculturalEnvironmentalMedicine,9,5
